name,buy,sell,weapon_skill,shield_skill,memo,
太刀,250,100,,,木甲の盾
青銅の太刀,550,220,,,青銅甲の盾
カタナ,1000,400,,,鉄甲の盾
つるはし,1000,400,壁掘り,,
木づち,1000,400,罠壊し,,
かつおぶし,1800,720,鰹節,,ハラモチの盾
どうたぬき,2200,880,,,おにおおかみ
金の剣,3000,1200,サビよけ,,金の盾
使い捨て刀,3000,1200,劣化,,使い捨ての盾
斬鉄剣,3100,1240,金属特攻,,
一ツ目殺し,3100,1240,一ツ目特攻,,見切りの盾
水斬りの剣,3300,1320,水棲特攻,,オトトの盾
三日月刀,3500,1400,爆発特攻,,爆発隠の盾
ドレインバスター,3600,1440,ドレイン特攻,,
空の刃,3700,1480,浮遊特攻,,
ドラゴンキラー,4000,1600,ドラゴン特攻,,ドラゴンシールド
山姥包丁,4000,1600,呪いのちから,,山姥の鍋ぶた
成仏のカマ,4200,1680,ゴースト特攻,,
巨大ハリセン,4200,1680,突き飛ばし,,ざぶとん
回復の剣,4300,1720,回復,,
罠探りの棒,4400,1760,罠探り,,
桃まん棒,4500,1800,桃まん,,
原始の斧,5000,2000,ケモノ特攻,,
鉄塊の大剣,5300,2120,腹ちから攻撃,,鉄塊の大盾
ステーキナイフ,5400,2160,ハングリー,,ステーキプレート
剛剣マンジカブラ,5500,2200,,,風魔の盾、螺旋風魔の盾
スパークソード,5500,2200,空振り溜め,,
四ツ叉,5600,2240,4連溜め,,
めでたい熊手,5700,2280,7の会心,,めでたい御守
金食い虫こん棒,6000,2400,金食い攻撃,,金食い虫の盾
ミノタウロスの斧,6500,2600,会心の一撃,,ミノタウロスの盾
妖刀かまいたち,8400,3360,三方向攻撃,,
連撃刀,10000,4000,連続攻撃,,
火迅風魔刀,16000,6400,炎飛ばし,,風魔の盾、螺旋風魔の盾
秘剣カブラステギ,25000,10000,,,風魔の盾、螺旋風魔の盾
