name,buy,sell,weapon_skill,shield_skill,memo,
雑草,10,4,,,
薬草,40,10,HP+5,HP+5,
毒草,50,20,,,
暴走の種,50,20,,暴走返し,
混乱草,70,25,混乱,,
目つぶし草,70,25,目つぶし,,
睡眠草,70,25,睡眠,,
めぐすり草,70,25,,,
すばやさ草,70,25,,,
パワーアップ草,70,25,,,
弟切草,80,30,HP+10,HP+10,
くねくね草,100,40,,,
高飛び草,100,40,,高跳び返し,
いやし草,200,80,HP+15,HP+15,
かぐわし草,200,80,,,
胃縮小の種,200,80,,,
胃拡張の種,200,80,,,
ドラゴン草,250,100,,,
不幸の種,400,160,,,
無敵草,400,160,,,
復活の草,400,160,,,
命の草,500,200,HP+20,HP+20,
毒消し草,600,240,,,
ちからの草,700,280,,,
しあわせ草,1000,400,,,
天使の種,2000,800,,,
超不幸の種,2000,800,,,
