name,buy,sell,weapon_skill,shield_skill,memo,
木甲の盾,500,200,,,木刀
青銅甲の盾,800,320,,,青銅の太刀
鉄甲の盾,1200,480,,,カタナ
おにおおかみ,1500,600,,,どうたぬき
オトトの盾,2000,800,,防水,水斬りの剣
ハラモチの盾,2000,800,,ハラモチ,かつおぶし
バトルカウンター,2200,880,,カウンター,
金の盾,2500,1000,,サビよけ,金の剣
ミノタウロスの盾,2500,1000,,痛恨耐性,ミノタウロスの斧
不動の盾,2500,1000,,不動,
トドよけの盾,2600,1040,,トドよけ,
ガマラよけの盾,2700,1080,,ガマラよけ,
いたずらよけの盾,2800,1120,,いたずらよけ,
ドラゴンシールド,3000,1200,,ドラゴン特防,ドラゴンキラー
ざぶとん,3000,1200,,受け身,巨大ハリセン
爆発隠の盾,3300,1320,,耐爆,三日月刀
使い捨ての盾,3400,1360,,劣化,使い捨て刀
にぎりよけの盾,3600,1440,,にぎりよけ,
見切りの盾,4000,1600,,見切り,一ツ目殺し
ゲイズの盾,4000,1600,,催眠よけ,
山姥の鍋ぶた,4100,1640,,呪いのちから,山姥包丁
鉄塊の大盾,4400,1760,,腹ぢから防御,鉄塊の大剣
ステーキプレート,4500,1800,,ハングリー,ステーキナイフ
根性の盾,4600,1840,,根性,
カッパのお皿,5000,2000,,投げものよけ,
絶好調の盾,5000,2000,,満タン防御,
めでたい御守,5500,2200,,7の守り,めでたい熊手
風魔の盾,6000,2400,,,剛剣マンジカブラ
金食い虫の盾,6000,2400,,金食い防御,金食い虫こん棒
お告げの盾,7000,2800,,お告げ,
魔法よけの盾,7500,3000,,魔法弾よけ,
サトリの盾,10000,4000,,サトリ,
